Kategori,Judul,Isi
Tekno,Mahasiswa Malang Sebut MCC Memiliki Fasilitas Memadai,"Malang Creative Center (MCC) saat ini menjadi salah satu ikon yang dimiliki Kota Malang. Bukan hanya soal bangunannya yang megah, tetapi juga manfaat dari adanya bangunan tersebut.

Kebermanfaatan MCC ini telah dirasakan oleh banyak pihak. Baik dari instansi pemerintahan, komunitas pengusaha hingga mahasiswa yang ada di Kota Malang.

Seperti yang diakui oleh Kine Klub Universitas Muhammadiyah Malang (UMM), atau Unit Kegiatan Mahasiswa (UKM) yang bergerak di bidang perfileman. Baik itu untuk produksi, pendistribusikan,  workshop dan roadshow, sampai dengan mengadakan festival film di Kota Malang.

Divisi Distribusi, Eksebisi, Festival dan Apresiasi (DEFA) Kine Klub UMM, Ahmad Aghna Rahmawan mengatakan, telah ada beberapa kegiatan yang telah dilakukan organisasinya di MCC. ""Seperti workshop tentang cinema dalam film, serta pemutaran film-film pendek,"" ucapnya.

Aghna menambahkan, sebelum ada MCC,  kegiatan organisasinya kebanyakan hanya dilakukan di dalam kampus, dengan menggunakan fasilitas yang disediakan oleh kampus. Namun kini para mahasiswa bisa mendapatkan referensi tempat baru untuk menggelar event dengan lebih nyaman dan representatif.

MCC-2.jpg

Dia mengungkapkan, ada beberapa keunggulan yang dimiliki oleh MCC, dan tidak ada di fasilitas lain yang pernah dia gunakan. ""Ada beberapa fasilitas seperti Aula dengan sound yang memadai, yang itu tidak di miliki fasilitas lain,"" ungkapnya.

Selain itu, MCC membuat Kota Malang lebih unggul dibandingkan dengan kota-kota lain yang ada di Jawa Timur atau bahkan Indonesia.  Karena dengan adanya MCC, Kota Pendidikan ini mempunyai tempat sentralisasi komunitas dan juga fasilitas yang lengkap.

Pihaknya pun mengucapkan banyak terima kasih kepada pemerintah daerah,  khususnya kepada Wali Kota Malang Sutiaji yang telah berhasil merealisasikan dan menuntaskan pembangunan MCC di Kota Malang.  Sehingga membawa banyak manfaat, utamanya dalam upaya pertumbuhan ekonomi kreatif di Kota Malang.

Masih banyak pihak dari unsur perguruan tinggi yang telah merasakan ""manisnya"" gedung MCC. Baik itu dari Universitas Brawijaya,  Universitas Negeri Malang, Universitas Islam Negeri Maulana Malik Ibrahim Malang, dan kampus lain baik negeri maupun swasta. 

""Untuk fasilitas yang ada di MCC sudah sangat baik, namun mungkin masih bisa di tingkatkan lagi,"" pungkasnya.(ADV)"
Kuliner,"Gonjing Majalengka, Kelezatan Kue Tradisional yang Menggoda Selera","Di beberapa daerah, makanan ini dikenal sebagai kue pancong atau bandros. Namun, jajanan tradisional kue gonjing di Kabupaten Majalengka, Jawa Barat, memiliki keunikan yang menjadikannya istimewa.

Gonjing Majalengka memiliki kombinasi tekstur dan cita rasa yang memanjakan selera. Terbuat dari racikan adonan tepung beras yang berpadu dengan gurihnya kelapa. Kue tradisional ini memiliki bentuk pipih dan warna kecoklatan yang mengundang selera.

Proses grilling atau pemanggangan menjadi rahasia kelezatan gonjing, menjadikan bagian luar kue begitu renyah dan gurih, sementara bagian dalamnya mempertahankan kelembutan yang menggoda.

Di setiap gigitannya, Gonjing Majalengka memberikan sentuhan nikmat yang dimunculkan dari adonan tepung beras yang lembut, sembari meresapi aroma harum dan kegurihan kelapa yang melimpah.

Pengalaman ini menjadi lebih istimewa ketika disandingkan dengan secangkir teh hangat, menciptakan harmoni rasa gurih dan manis yang sempurna untuk menemani suasana santai sore.

Gonjing-Majalengka-2.jpg

Keistimewaan kue Gonjing Majalengka semakin terasa ketika dihidangkan dengan saus cocol atau bumbu kacang, yang memberikan dimensi rasa lebih kaya dan menggugah selera.

Saus cocol ini, terbuat dari campuran kacang tanah dan berbagai bumbu pilihan, menyajikan kombinasi manis, gurih dan sedikit pedas. Mencelupkan gonjing ke dalam saus ini tidak hanya menghadirkan pengalaman makan yang lebih lengkap, tetapi juga mengangkat cita rasa tradisional ke tingkat baru.

Bagi yang penasaran dan ingin merasakan kelezatan jajanan legendaris ini, jangan lewatkan kesempatan untuk menjelajahi Kota Majalengka pada sore hari. Carilah salah satu pedagang gonjing yang berada di persimpangan Jalan Makmur dan Jalan Garunggang dan sambutlah kenikmatan kuliner legendaris ini.

Jadi, jika Anda sedang mencari pengalaman kuliner yang unik dan lezat, tak perlu ragu untuk mencicipi kelezatan Gonjing Majalengka. Rasanya yang gurih, teksturnya khas dengan aroma kelapanya yang harum akan mengundang Anda untuk terus menikmati jajanan kue tradisional ini berulang kali. (*)"
Peristiwa Internasional,"Israel Sajikan Gambar Kekejaman Hamas ke AS dan NATO, Namun Dibantah","Giliran Israel juga merilis gambar-gambar anak-anak yang dibunuh di hadapan pejabat Amerika Serikat dan NATO dalam upayanya menggalang dukungan agar ikut memusuhi Hamas.

Pemerintah Israel menunjukkan gambar itu kepada Menteri Luar Negeri AS, Antony Blinken dan menteri pertahanan NATO.

Gambar-gambar yang ditunjukkan adalah grafis anak-anak dan warga sipil yang tewas pada Kamis (12/10/2023).a

Israel mengatakan, bahwa mereka itu dibunuh oleh kelompok Palestina Hamas.

Kantor Perdana Menteri Israel,  Benjamin Netanyahu juga merilis di media sosial gambar-gambar bayi mati dalam genangan darah dan tubuh anak-anak yang hangus.

Blinken yang terbang ke Tel Aviv Kamis pagi kepada wartawan juga mengakui bahwa ia diperlihatkan foto dan video bayi yang penuh peluru, tentara yang dipenggal, dan anak-anak muda dibakar hidup-hidup di dalam mobil atau tempat persembunyian mereka.

""Ini hanyalah kebobrokan dalam cara terburuk yang bisa dibayangkan,"" kata Blinken pada konferensi pers.

""Gambar mempunyai makna ribuan kata. Gambar-gambar ini mungkin bernilai jutaan kata,"" katanya kemudian.

Menteri Pertahanan Israel,  Yoav Gallant juga memutarkan video itu saat berada di markas NATO di Brussels yang menurutnya menunjukkan pemandangan mengerikan dari serangan mendadak Hamas.

""Anak-anak diikat dan ditembak. Ya, saya ulangi, anak-anak, diikat dan ditembak,"" katanya kepada rekan-rekannya menteri melalui tautan video sesuai dengan teks pidatonya yang dikirim ke Reuters.

""Itu adalah gambar-gambar yang mengerikan mengenai serangan-serangan tersebut dan para korban serangan-serangan tersebut,"" komentar Sekjen NATO, Jens Stoltenberg kepada wartawan, dan mengatakan bahwa hal tersebut “mengkonfirmasi kebrutalan serangan tersebut.

Gedung Putih-pun mengatakan tidak ada alasan untuk meragukan keaslian gambar tersebut.

Hamas Membantah

Namun Hamas membantah militannya melukai warga sipil, dan balik menuduh Israel dan negara-negara Barat menyebarkan laporan palsu untuk menghasut kekerasan terhadap warga Palestina.

Wakil ketua Hamas, Saleh Al-Arouri mengatakan, para pejuang kelompok itu hanya bertujuan untuk menyerang militer Israel dan terkejut dengan runtuhnya unit-unit tentara dengan cepat.

""Rencananya adalah menargetkan tim tentara Gaza dan hanya melawan tentara pendudukan,"" kata Arouri dalam kutipan yang diterbitkan oleh Hamas.

Video yang diperlihatkan kepada NATO, tampaknya diambil dari campuran media sosial yang diterbitkan oleh Hamas dan dari video nomer-nomer telepon tak dikenal yang menunjukkan sejumlah mayat warga sipil yang tewas, serta mayat seorang tentara Israel berseragam tanpa kepala.

Tidak ada gambar yang menunjukkan bahwa militan Hamas telah memenggal kepala bayi , sebuah tuduhan yang sangat eksplosif yang pertama kali muncul di media Israel dan awalnya dibenarkan oleh para pejabat Israel.

Presiden AS Joe Biden pada hari Rabu menyatakan bahwa dia telah melihat gambar anak-anak yang dipenggal oleh militan.

Namun Gedung Putih kemudian mengklarifikasi bahwa para pejabat AS belum melihat bukti apa pun mengenai hal ini.

Netanyahu belum mengulangi klaim kantornya awal pekan ini bahwa Hamas memang telah memenggal kepala anak-anak, dan Gallant juga tidak mengulangi tuduhan tersebut kepada para menteri NATO.

Namun petugas medis, organisasi hak asasi manusia internasional dan jurnalis telah mendokumentasikan bahwa militan membunuh perempuan, anak-anak dan orang tua serta pria muda dan tentara dalam aksi mereka Sabtu itu.

Wartawan asing.juga menunjukkan lokasi-lokasi yang menjadi sasaran Hamas, menyaksikan reruntuhan rumah-rumah yang terbakar dan mayat-mayat yang bergelimpangan di jalan-jalan serta militan Hamas yang tewas bergelimpangan di jalan-jalan.

Para pejabat NATO mengatakan mereka tidak memperkirakan aliansi akan terlibat langsung dalam konflik tersebut. Namun, seperti  banyak negara NATO, terutama Amerika Serikat, telah menawarkan bantuan militer kepada Israel.

Israel merilis gambar anak-anak yang dibunuh di hadapan pejabat Amerika Serikat dan NATO dalam upayanya menggalang dukungan untuk ikut memusuhi Hamas, namun Hamas membantahnya. (*)"
Kesehatan,"Gigi Goyang Bisa Menjadi Tanda Diabetes, Peringatan dari Dokter Spesialis","Dokter spesialis penyakit dalam, DR Dr Soebagijo Adi Soelistijo, SpPD-KEMD, FINASIM, mengingatkan bahwa gigi yang goyah bisa menjadi salah satu tanda terjadinya diabetes, suatu kondisi yang mungkin tidak disadari oleh pasien.

Dalam sebuah acara kesehatan daring pada hari Senin, Dr. Soebagijo menjelaskan, ""Pada pasien dengan kadar gula darah tinggi, terjadi perubahan pada gusi seperti terangkat dan membengkak, yang akhirnya menyebabkan gigi menjadi goyang.""

Menurut Dr. Soebagijo, kesalahan yang sering dilakukan oleh banyak orang ketika menghadapi kondisi ini adalah segera meminta dokter gigi untuk mencabut gigi yang goyah, tanpa menyadari bahwa ini mungkin merupakan gejala dari diabetes.

""Ironisnya, ketika gigi goyah akibat diabetes itu dicabut, hal itu hanya meredakan gejalanya sementara. Kadar gula darah yang tinggi adalah penyebab utama, dan perlu diatasi untuk memperbaiki kondisi gusi dan mencegah gigi menjadi goyang,"" tambahnya.

Dr. Soebagijo menekankan bahwa apabila kadar gula darah dapat dikontrol dengan baik, komposisi gusi akan membaik, dan gigi pasien diabetes tidak akan mengalami masalah goyangan.

Mengacu pada informasi dari laman Very Well Health, penyakit diabetes dapat meningkatkan risiko munculnya berbagai masalah mulut. Tingginya kadar glukosa (gula) dalam darah dapat menyebabkan peningkatan gula dalam air liur. Bakteri dalam plak gigi menggunakan gula tersebut, menyebabkan kerusakan gigi, pembentukan gigi berlubang, kehilangan gigi, serta meningkatkan risiko periodontitis (penyakit gusi).

Selain itu, diabetes juga melemahkan sistem kekebalan tubuh, menyulitkan penyembuhan infeksi dan menangani masalah mulut. Hal ini meningkatkan risiko periodontitis dan mempengaruhi proses penyembuhan.

Sebagai tambahan, produksi air liur yang kurang dapat menjadi efek samping dari obat diabetes tertentu. Kekurangan air liur dapat mengurangi kemampuan membersihkan partikel makanan dan mencegah bakteri membentuk plak, sehingga meningkatkan risiko kerusakan gigi, pembentukan gigi berlubang, dan kehilangan gigi.

Dr. Soebagijo menutup dengan mengingatkan bahwa mengontrol diabetes adalah langkah penting dalam melindungi kesehatan gigi dan gusi. Ini tidak hanya membantu pasien mengelola diabetes mereka, tetapi juga menjaga kesehatan mulut secara keseluruhan. (*)"
Kuliner,Bakso Rusa: Kombinasi Lezat dan Sosial di Pesta UMKM 2023,"Pesta UMKM 2023 telah berhasil menghadirkan perhatian publik, dengan salah satu sorotan utamanya adalah ""Bakso Rusa,"" singkatan dari Bakso Rumah Sedekah NU. UMKM ini tidak hanya menawarkan cita rasa bakso daging sapi yang lezat, tetapi juga memancangkan misi sosial yang luhur.

Bakso Rusa adalah salah satu UMKM yang dinaungi oleh Rumah Sedekah NU dan menjadi bagian dari Pesta UMKM 2023 di NK Caffe Malang, berlangsung mulai tanggal 28 hingga 30 Agustus 2023. Stan mereka menampilkan beragam produk makanan dan minuman yang menarik, seperti bakso daging sapi, aneka madu, dan kopi, semuanya menjadi produk unggulan mereka.

Namun, yang membedakan Bakso Rusa adalah tujuan sosial yang mereka usung. Rumah Sedekah NU adalah lembaga yang komitmen untuk membantu masyarakat membutuhkan. Sebagian dari pendapatan dari penjualan bakso digunakan untuk mendukung program-program sosial, seperti bantuan pendidikan, pemberdayaan ekonomi, dan pertolongan kepada mereka yang kurang beruntung.

Rifqi Iskandar, anggota tim Bakso Rusa, menjelaskan bahwa ide awal dari usaha ini berasal dari Sedekah Produktif yang diinisiasi oleh Rumah Sedekah NU. Kemitraan dengan rekan mereka yang memiliki usaha bakso membawa semangat kewirausahaan kepada para pemuda untuk belajar dan berinovasi dalam bisnis bakso. Hasilnya adalah produk makanan dengan inovasi luar biasa, dengan harga yang terjangkau, yaitu Rp12.000 per porsi.

“Niat awalnya biasanya sedekah bisa berupa uang atau barang yang diberikan dan selesai, tetapi kami ingin agar sedekah memiliki dampak berkelanjutan. Dengan demikian, sedekah ini menjadi jariyah yang terus berlanjut,” kata Rifqi, Senin (28/8/2023).

Selain bakso sebagai produk utama, mereka juga menawarkan produk madu yang menarik. Madu kaliandra, yang jarang dikenal masyarakat, memiliki ciri khas rasa yang halus dan tidak terlalu kuat. Madu ini cocok bagi pecinta madu yang menginginkan rasa yang ringan. Kemasannya praktis dan mudah dibawa.

“Kemasannya dalam bentuk sachet, cocok untuk dibawa saat bepergian, untuk anak sekolah, atau sebagai pemanis untuk secangkir minuman,” jelas Rifqi Iskandar.

Dengan harga mulai dari Rp50.000 untuk satu toples berisi 20 sachet, serta kemasan box kecil yang berisi 5 sachet dengan harga Rp12.500 per box, Bakso Rusa memberikan variasi pilihan kepada pelanggan. Saat ini, mereka juga sedang mengembangkan varian baru seperti propolis dan multiflora.

Kehadiran Bakso Rusa dalam Pesta UMKM 2023 meraih sambutan positif dari pengunjung yang tertarik dengan kombinasi kelezatan makanan dan dampak sosial yang positif. Stan mereka menjadi daya tarik utama di acara ini, menunjukkan bagaimana bisnis dan tujuan baik dapat saling menyatu secara harmonis.

Bakso Rusa telah berhasil mendirikan empat cabang toko frozen food di wilayah Malang dan sedang membangun rumah makan sendiri di daerah Dinoyo. Pendapatan dari UMKM ini juga mengesankan, dengan penjualan yang bisa mencapai jutaan rupiah per bulan.

“Pada momen-momen tertentu, terutama saat ada pesanan untuk acara, pendapatan bisa mencapai puluhan juta rupiah dalam sebulan,” tambah Rifqi Iskandar.

Pesta UMKM 2023 di NK Caffe Malang diharapkan akan menginspirasi dan menghubungkan berbagai pelaku UMKM dengan masyarakat yang mencari produk berkualitas dan unik. Kehadiran Bakso Rusa, dengan pendekatan bisnis yang berbeda dan tujuan sosial yang kuat, membawa semangat baru dan pesan tentang pentingnya memberi dan berkontribusi.

Bagi para pengunjung yang ingin merasakan kelezatan bakso sambil turut serta dalam aksi sosial yang baik, diundang untuk mengunjungi stan Bakso Rusa di Pesta UMKM 2023 di NK Caffe Malang pada tanggal 28-30 Agustus 2023. (*)"
Entertainment,"Gamon dari The Worst of Evil, Ji Chang Wook Siapkan Dua Drama BaruÂ ","Gagal move on atau gamon dari The Worst of Evil? Tenang saja, Ji Chang Wook sudah mempersiapkan dua drama baru. Drama tersebut berjudul Welcome to Samdalri dan The Hooligans.

Welcome to Samdalri dijadwalkan tayang pada Desember 2023. Pada drama romantis itu sang bintang akan beradu akting dengan Shin Hye Sun. Drama yang ditulis Kwon Hye Joo ini mengisahkan persahabatan yang dijalin oleh Jo Yong Pil (Ji Chang Wook) dan Jo Sam Dal (Shin Hye Sun).

Keduanya menghabiskan masa kecil di Pulau Jeju. Mereka sempat terpisah saat Jo Sam Dal keluar dari Pulau Jeju untuk bekerja. 

Namun mereka kembali bertemu ketika Jo Sam Dal ada masalah di kantornya dan memutuskan untuk balik kampung. 

Setelah lama tak jumpa, mereka merasa canggung satu sama lain. Hingga ada satu hal akhirnya membuat Jo Sam Dal dan Jo Yong Pil akrab bahkan tumbuh benih cinta. 

Penggemar sudah nggak sabar dengan chemistry kedua bintang ini. Apalagi Shin Hye Sun nggak malu-malu mengunggah foto bersama Ji Chang Wook di media sosial pribadinya.

Sedangkan drama keduanya The Hooligans, dijadwalkan tayang pada paruh kedua tahun 2024 mendatang. 

The Hooligans mengusung genre drama aksi petualangan. Menariknya genre tersebut jarang diangkat dalam industri hiburanm Korea Selatan. Sang produser Kang Yoon Sung awalnya mengaku ragu mengangkat drama genre aksi petualangan ini. Namun setelah Ji Chang Wook dan Ryu Seung Ryong menerima tawaran drama The Hooligans, ia langsung lega. 

""Ini dilema bagi kami, karena genre jarang diangkat, jadi bisa jadi boomerang bagi kami jika drama ini gagal. Namun setelah Ji Chang Wook dan Ryu Seung Ryong mengambil peran, saya yakin ini akan sukses,"" tegasnya seperti dikutip dari newsen.  

Ji Chang Wook akan berperan sebagai Hee Don, dan aktor chungmuro Ryu Seung Ryong melakoni peran Gwan Seok. 

Drama ini diangkat dari webtun karya Yoon Tae Ho. Mengambil latar tahun 1970-an, drama ini mengisahkan paman dan keponakan bernama Gwan Seok serta Hee Don yang bekerja sebagai pencari harta karun. Pekerjaan itu dilakoni karena himpitan ekonomi keluarga. Mereka mendengar kabar adanya harta karun di Laut Barat Korea. 

Tanpa berfikir panjang mereka langsung berburu harta karun untuk mendapat kekayaan dalam waktu singkat. 

Sebagai informasi, Ji Chang Wook baru saja menuntaskan drama aksi The Worst of Evil. Drama tersebut menjadi drama terlaris di Disney+ setelah Moving. 

Ji Chang Wook berperan sebagai polisi yang harus menyamar menjadi anggota gengster. Ia pun menjadi salah satu anggota geng yang menjadi kepercayaan bosnya (Wi Ha Joon). 

Meski sudah tamat pekan lalu, namun penggemar belum move on dari drama yang dibintangi Ji Chang Wook. Bahkan banyak yang menilai ending dari drama itu masih menggantung hingga butuh musim kedua. Hmm,.. gimana menurut Anda TIMES Lovers? (*)"
Hukum dan Kriminal,"Tunggu Tersangka, Kejaksaan Bondowoso Dalami Kasus Traktor di Dua Desa","Setelah berhasil mengungkap dua kasus penyelewengan bantuan traktor roda empat. Kejaksaan Negeri (Kejari) Bondowoso kembali mendalami kasus serupa di dua desa.

Dua desa dimaksud yakni Desa Maskuning Kulon Kecamatan Pujer dan Sumber Salam Kecamatan Tenggarang. Masing-masing merupakan anggaran tahun 2015 dan tahun 2016. 

Kepala Kejaksaan Negeri (Kajari) Bondowoso, Puji Triasmoro mengatakan, saat ini Kejaksaan masih melakukan penyidikan.

Menurutnya, dugaan penyelewengan bantuan traktor roda empat ini sudah memenuhi dua alat bukti untuk dinaikkan ke tingkat penyidikan. Pihaknya telah memeriksa sejumlah pihak yang diduga terlibat dalam kasus tersebut.

Baik dari pihak dinas, kelompok tani hingga pemerintah desa terkait dengan bantuan alsintan tahun 2015 dan 2016.

""Yang jelas saksi-saksi, tinggal ahli, ada juga saksi dari kementerian juga,"" jelas dia.

Dia juga mengungkapkan, minggu depan Kejaksaan akan melayangkan surat ke kementerian terkait.

Setelah ini Kejari Bondowoso tinggal menentukan siapa tersangka yang bertanggung jawab. 

""Penyidikan sudah pasti alat buktinya cukup. Tapi untuk memperkuat lagi kita akan mencari siapa sih yang paling bertanggung jawab,"" imbuh dia.

Menurutnya, satu unit traktor yang diselewengkan senilai Rp 329 juta. 

Diduga traktor tersebut tidak diserahkan kepada kelompok tani yang seharusnya menerima.

Adapun modus penyelewengannya sama dengan kasus-kasus sebelumnya. Yakni Traktor dipindahtangankan. Baik dijual, disewakan atau digadaikan.

""Modusnya sama, hampir-hampir mirip lah,"" jelas dia.

Jadi sudah ada empat kasus traktor yang ditangani Kejaksaan. Satu sudah mendapat putusan hukum, satu lagi tengah proses persidangan, dan dua kasus masih proses penyidikan.

Kajari juga menegaskan akan terus menelusuri dugaan penyelewengan bantuan Traktor di desa lain.

""Nanti kalau ditemukan yang lain akan dikembangkan lagi,"" tegas Puji Triasmoro. (*)"
Kuliner,"Resep Praktis: Mumpung Lagi Musim, Yuk Bikin Puding Mangga!","Mangga sering digunakan sebagai bahan dalam berbagai hidangan tradisional dan kudapan yang nikmat. Musim mangga merupakan waktu yang tepat untuk mencoba resep praktis membuat puding mangga yang lezat.

Mangga merupakan buah tropis yang sangat populer di Indonesia. Buah ini memiliki beragam varietas dan rasa yang lezat. Musim mangga di Indonesia biasanya mencapai puncaknya pada bulan-bulan tertentu, memanjakan lidah para pecinta buah.

Puding mangga tidak hanya menyegarkan, tetapi juga mudah dan cepat untuk disiapkan. Yuk, simak resepnya dan nikmati kelezatan puding mangga di rumah.

Bahan-bahan:
Mangga matang, 2 buah (kupas dan potong dadu)
Susu kental manis, 1 kaleng
Susu cair, 500 ml
Agar-agar bubuk, 7 gram
Gula pasir, 100 gram (sesuai selera)
Air matang, 750 ml
Vanilla ekstrak, 1 sendok teh
Langkah-langkah:
Persiapkan Bahan. Pastikan semua bahan telah disiapkan dengan baik. Kupas dan potong mangga menjadi dadu, siapkan susu kental manis, susu cair, agar-agar bubuk, gula pasir, air matang, dan vanilla ekstrak.
Rebus mangga dengan sedikit air hingga mangga menjadi lembut dan mudah dihaluskan. Setelah itu, haluskan mangga menjadi puree menggunakan blender atau alat penghalus lainnya.
Buat Larutan Agar-Agar. Campurkan agar-agar bubuk dengan air matang. Aduk rata hingga agar-agar larut dalam air.
Rebus Campuran Agar-Agar dengan cara memanaskan susu cair dalam panci, tambahkan gula pasir, dan campuran agar-agar. Aduk rata dan biarkan hingga campuran mendidih.
Setelah campuran agar-agar mendidih, tambahkan puree mangga yang telah disiapkan sebelumnya. Aduk rata hingga tercampur sempurna.
Masukkan susu kental manis ke dalam campuran agar-agar dan mangga. Pastikan campuran tetap terus diaduk agar tidak menggumpal.
Tambahkan vanilla ekstrak untuk memberikan aroma yang harum pada puding mangga. Aduk rata dan pastikan semua bahan tercampur dengan baik.
Tuangkan campuran puding mangga ke dalam wadah atau cetakan puding. Diamkan sejenak agar puding mengeras.
Setelah puding mengeras, letakkan wadah puding di dalam kulkas selama beberapa jam hingga benar-benar dingin. Puding mangga siap disajikan!
Tips Tambahan:
Untuk variasi, tambahkan potongan mangga ke dalam campuran puding sebelum didinginkan. Sajikan puding mangga dengan taburan biji selasih atau potongan buah segar untuk tampilan yang lebih menarik. Sesuaikan jumlah gula sesuai selera anda. Jika mangga sudah cukup manis, anda dapat mengurangi jumlah gula.

Dengan mengikuti resep praktis ini, anda dapat menikmati puding mangga yang lezat dan menyegarkan. Cocok sebagai hidangan penutup di musim panas atau kapan pun anda menginginkan sesuatu yang manis. Selamat mencoba!.(*)"
Kuliner,Cikebo Majalengka Surga bagi Penikmat Jagung Bakar,"Kabupaten Majalengka, Jawa Barat, memiliki kekayaan kuliner dan keindahan alam yang patut dieksplorasi. Salah satu tempat terkenal yang telah menjadi destinasi wisata sejak tahun 90-an, yakni Cikebo Majalengka.

Meskipun namanya mungkin terdengar unik, Cikebo yang terletak di Desa Tegalsari, Kecamatan Maja, memiliki daya tarik sendiri yang tidak boleh dilewatkan.

Terletak sekitar 14 kilometer dari pusat kota Majalengka, Anda mungkin bertanya-tanya mengapa tempat ini sangat menarik? Jawabannya sederhana, yakni jagung bakar.

Jika Anda pernah mengunjungi Lembang di Bandung, Anda mungkin familiar dengan suasana warung tradisional yang menjual jagung bakar, ketan bakar dan makanan khas Jawa Barat lainnya.

Cikebo adalah versi Majalengka. Namun, yang membuat Cikebo begitu istimewa adalah lokasinya yang terletak di ketinggian, memberikan sensasi hawa sejuk yang cocok untuk menikmati jagung bakar dan kuliner khas lainnya.

Sejumlah warung panggung yang terletak di sepanjang jalan Maja - Talaga ini sering kali dijadikan sebagai tempat untuk istirahat dan melepas kepenatan oleh para pengemudi yang tengah melintasi jalur tersebut.

Kawasan Cikebo merupakan pilihan yang sempurna bagi wisatawan yang ingin bersantai sambil menikmati pemandangan yang indah. Dari ketinggian Majalengka, pengunjung dapat menyaksikan keindahan alam yang memanjakan mata.

Jagung-bakar-Cikebo-2.jpg

Di tempat ini, Anda dapat menikmati jagung bakar dengan rasa manis asli yang khas atau mencoba beragam varian rasa yang memikat selera, seperti keju leleh yang melimpah, jagung bakar pedas dengan sentuhan eksotis atau berbagai rasa lain yang akan memanjakan lidah.

Selain jagung bakar, Cikebo juga menawarkan beragam menu warung lain yang menggugah selera. Makanan khas seperti ketan bakar, ubi dan aneka gorengan dapat dinikmati di sini. Rasanya yang autentik dan cita rasa yang khas membuat makanan di Cikebo sangat memikat.

Ketika berkunjung ke Cikebo, Anda akan merasakan suasana hangat dan ramah dari penduduk setempat. Masyarakat Majalengka senang menyambut wisatawan dan berbagi kekayaan kuliner serta budayanya.

Selain itu, akses ke Cikebo sangat mudah karena tempat ini terletak di pinggir jalan dan dilalui oleh angkutan umum. Jadi, Anda tidak perlu khawatir tentang kesulitan dalam mencapai destinasi ini. Setiap kunjungan bisa direncanakan kapan saja dengan nyaman.

Cikebo bisa dianggap sebagai destinasi wisata yang tidak terlalu fokus pada kemegahan dan kemewahan tempat. Namun, keindahan sejati di sini dapat ditemukan dalam hal-hal sederhana, seperti menikmati jagung bakar yang lezat sambil merasakan hawa sejuk alam Majalengka.

Jadi, jika Anda berada di Kabupaten Majalengka, jangan lupa untuk singgah ke Cikebo. Di sana, Anda akan diajak dalam petualangan kuliner jagung bakar sambil menikmati kesejukan alam terbuka dan pemandangan yang mengesankan. (*)"
Hukum dan Kriminal,"Perjalanan Karir Kajari Bondowoso hingga Jadi Tersangka KPK, Pernah di Kejagung","KPK RI melakukan operasi tangkap tangan (OTT) terhadap Kepala Kejaksaan Negeri Bondowoso, Puji Triasmoro, Rabu (15/11/2023). 

Kajari jadi tersangka bersama tiga  orang lainnya. Yakni Kasi Pidsus sekaligus kepercayaan Kajari Bondowoso inisial AKDS, YS dan AIW dari pihak swasta.

YS dan AIW meminta Kejari Bondowoso agar menghentikan penyelidikan terhadap proyek yang mereka lakukan.

Permintaan itu disampaikan oleh AKDS kepada Kajari. Kemudian Kajari memerintahkan AKDS agar membantu YS dan AIW. 

Agar penyelidikan dihentikan, AKDS atas perintah Kajari meminta sejumlah uang sebagai tanda jadi. 

Pada Hari Rabu itulah, penyerahan uang terjadi di Ruang Kasi Pidsus. 

KPK yang sudah mengendus adanya transaksi langsung melakukan tangkap tangan.

KPK yang dibagi dua tim mengamankan AKDS, Puji Triasmoro, YS dan AIW. Uang suap sebesar Rp 225 juta diamankan langsung. Sementara total BB uang tunai Rp 475 juta. 

Perjalanan Karir Puji Triasmoro
Dia pertama kali ditempatkan di Kejaksaan Negeri Salatiga. Dia menjabat Kepala Subseksi Ekonomi dan Keuangan di Intel Kejaksaan Salatiga 1997 hingga 1998.

Pada 1999 mengikuti pendidikan jaksa dan Februari Tahun 2000 dilantik jadi jaksa. 

Puji kemudian dipercaya menjadi Kasubsi Produksi Sarana Intelijen Kejaksaan Negeri Maumere NTT selama setahun. Kemudian dipromosikan jadi Kasi Pidum di sana hingga tahun 2004.

Masih di Tahun 2004, dia dimutasi ke Sukoharjo menjadi Kasi Pidsus. Di sana sekitar tujuh tahun atau hingga akhir 2010.

Pada Tahun 2011 dimutasi sebagai Kepala Seksi Penuntutan Umum Kejaksaan Tinggi Kalimantan Barat sekitar enam bulanan.

Selanjutnya awal Tahun 2014 Puji dipromosikan jadi Kabag Tata Usaha selama dua tahun di Kejaksaan Tinggi Kalimantan Tengah.

Awal 2016 dia menjadi Kepala Kejaksaan Negeri pertama di Kejaksaan Negeri Lingga Kepulauan Riau selama dua tahun  hingga 2018.

Kemudian dipromosikan lagi menjadi Kajari di Grobogan Jawa Tengah mulai 2018 hingga 2019.

Selanjutnya dipromosikan jadi Asisten Intelijen Kejaksaan Tinggi Gorontalo sekitar setahun dua bulan.

Awal Tahun 2021 dia dipercaya sebagai Kepala Sub Direktorat Eksekusi dan Eksaminasi di Pidum Kejaksaan Agung.

Selanjutnya Maret Tahun 2022 diamanahi sebagai Kepala Kejaksaan Negeri Bondowoso. Sekitar 1,5 tahun di Bumi Ki Ronggo dia diciduk KPKKPK dan kini ditahan di rutan Gedung Merah Putih. (*)"
